                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 0.7287,                0.59652,                 1.8014,                0.88442,                0.82353,                0.92077,                0.74047,                0.76083,                0.69592,                 1.5511,               0.000218,               0.000218,               0.000218
                     92,                0.70022,                 0.5997,                 1.7817,                0.76583,                 0.9625,                0.92336,                0.75013,                0.76533,                0.67844,                 1.5635,              0.0001982,              0.0001982,              0.0001982
                     93,                0.72425,                0.58575,                 1.7951,                0.80754,                      1,                0.93048,                0.76911,                 0.7518,                0.68626,                 1.5409,              0.0001784,              0.0001784,              0.0001784
                     94,                0.71304,                0.57375,                 1.7729,                0.75465,                      1,                0.92779,                 0.7796,                0.73732,                0.67251,                 1.5145,              0.0001586,              0.0001586,              0.0001586
                     95,                0.73549,                0.57665,                 1.8403,                0.79052,                      1,                0.92609,                0.77349,                 0.7172,                0.64423,                 1.4963,              0.0001388,              0.0001388,              0.0001388
                     96,                0.70376,                0.56607,                 1.7936,                0.80896,                      1,                0.92833,                0.76927,                0.70256,                0.64112,                 1.4878,               0.000119,               0.000119,               0.000119
                     97,                0.69485,                0.55814,                  1.757,                0.80919,                0.99794,                0.92585,                0.76951,                0.69796,                0.64593,                  1.491,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.7121,                0.56982,                 1.7765,                0.80804,                      1,                0.92085,                0.77254,                0.69996,                 0.6326,                 1.4994,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.69352,                0.55424,                 1.7747,                0.80364,                      1,                0.93155,                 0.7732,                0.70726,                0.62412,                 1.5086,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.69842,                0.56122,                 1.8041,                0.79522,                      1,                0.93012,                0.77292,                0.71512,                0.61403,                 1.5136,               3.98e-05,               3.98e-05,               3.98e-05
