                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.89007,                0.72735,                 2.1252,                0.84044,                0.87833,                0.90564,                0.76696,                0.76877,                0.69005,                 1.5942,               0.000636,               0.000636,               0.000636
                     64,                0.89916,                0.73318,                 2.0221,                0.84069,                0.87995,                0.90722,                 0.7575,                0.77978,                0.72443,                 1.6074,               0.000614,               0.000614,               0.000614
                     65,                0.86912,                0.70245,                 2.0019,                0.84575,                0.91451,                0.93694,                0.74468,                0.77148,                0.66725,                 1.6178,               0.000592,               0.000592,               0.000592
                     66,                0.86687,                0.71153,                 1.9274,                0.81071,                0.95205,                0.94174,                0.77202,                0.80361,                0.66291,                 1.5982,                0.00057,                0.00057,                0.00057
                     67,                 0.8919,                0.73762,                 1.9688,                0.78712,                0.88889,                 0.9207,                0.75935,                0.84472,                0.73235,                 1.6286,               0.000548,               0.000548,               0.000548
                     68,                0.86749,                0.71438,                 1.9428,                0.77852,                0.97699,                0.93943,                0.76054,                0.82783,                0.66751,                 1.5864,               0.000526,               0.000526,               0.000526
                     69,                0.83865,                0.68214,                  1.927,                0.74724,                0.98589,                0.93139,                0.77651,                0.73835,                0.66224,                 1.5409,               0.000504,               0.000504,               0.000504
                     70,                0.88982,                0.71391,                 1.9922,                0.76797,                0.94444,                0.90879,                0.77938,                0.76748,                0.69739,                 1.5458,               0.000482,               0.000482,               0.000482
                     71,                0.84308,                0.68803,                 1.9629,                0.74334,                0.96595,                0.89583,                0.73213,                0.74843,                0.69165,                 1.5713,                0.00046,                0.00046,                0.00046
                     72,                0.84464,                0.67941,                  1.853,                0.80236,                0.90264,                0.91791,                0.76984,                0.79461,                0.71483,                 1.5692,               0.000438,               0.000438,               0.000438
                     73,                0.83944,                0.67723,                  1.949,                0.80897,                0.94444,                0.90998,                0.75372,                 0.7624,                0.72297,                 1.5813,               0.000416,               0.000416,               0.000416
                     74,                0.81796,                0.68113,                 1.8664,                0.83984,                0.87454,                0.91163,                0.75846,                0.75822,                0.69942,                 1.5486,               0.000394,               0.000394,               0.000394
                     75,                0.83791,                0.68797,                 1.8836,                0.78071,                      1,                0.92846,                0.76634,                0.75529,                 0.7033,                 1.5676,               0.000372,               0.000372,               0.000372
                     76,                0.82994,                0.66496,                 1.9404,                0.80845,                0.93815,                0.93699,                0.80391,                0.75095,                0.66937,                 1.5715,                0.00035,                0.00035,                0.00035
                     77,                0.85596,                0.69224,                  1.949,                0.82636,                0.83333,                0.91519,                0.77203,                0.73961,                0.68333,                 1.5637,               0.000328,               0.000328,               0.000328
                     78,                0.80303,                0.64001,                  1.924,                0.71659,                      1,                0.91083,                0.77258,                0.73911,                0.67913,                 1.5598,               0.000306,               0.000306,               0.000306
                     79,                0.81074,                0.64455,                 1.9833,                0.77389,                      1,                0.90924,                0.78948,                0.75566,                 0.6377,                 1.5816,               0.000284,               0.000284,               0.000284
                     80,                 0.7834,                0.65539,                 1.8748,                0.80272,                0.94444,                0.91055,                0.77772,                0.74693,                0.63923,                 1.5818,               0.000262,               0.000262,               0.000262
                     81,                0.72317,                0.60261,                 1.9698,                0.81762,                      1,                0.93358,                0.79247,                0.76476,                0.62453,                 1.5826,                0.00024,                0.00024,                0.00024
                     82,                0.75062,                0.58491,                  1.943,                0.81802,                0.99898,                0.93358,                0.79901,                 0.7421,                0.62777,                 1.5596,               0.000218,               0.000218,               0.000218
                     83,                0.71829,                0.57225,                 1.8486,                0.77018,                      1,                0.91161,                0.79017,                0.72005,                0.65869,                 1.5801,               0.000196,               0.000196,               0.000196
                     84,                0.69389,                0.55894,                 1.8619,                 0.8083,                 0.9373,                0.90799,                0.78733,                0.70328,                0.66355,                 1.5656,               0.000174,               0.000174,               0.000174
                     85,                0.68873,                0.55741,                 1.8861,                0.79776,                0.94444,                0.89738,                0.76082,                0.72154,                0.68613,                  1.576,               0.000152,               0.000152,               0.000152
                     86,                0.70328,                0.55805,                 1.9706,                0.79937,                0.94444,                0.90719,                0.77257,                0.73747,                0.66757,                 1.5804,                0.00013,                0.00013,                0.00013
                     87,                0.68581,                0.55596,                 1.8842,                 0.7959,                0.94444,                0.91454,                0.78699,                0.73528,                0.66243,                 1.5702,               0.000108,               0.000108,               0.000108
                     88,                0.66845,                0.53796,                 1.8857,                0.82259,                0.88889,                0.91224,                0.78575,                 0.7238,                0.66445,                 1.5608,                8.6e-05,                8.6e-05,                8.6e-05
                     89,                0.68436,                0.54807,                 1.8695,                0.84002,                0.87569,                0.90447,                 0.7761,                0.72985,                0.67983,                 1.5522,                6.4e-05,                6.4e-05,                6.4e-05
                     90,                0.69204,                0.53964,                 1.8656,                0.84004,                0.87578,                0.90543,                0.77592,                0.72947,                0.67739,                 1.5591,                4.2e-05,                4.2e-05,                4.2e-05
